short_name,council_name,stratum,abs_lga_code,is_indigenous_council,population_latest,essential_services_inputs_used,n_above_soci_water_threshold,n_is_water_service_provider,n_mean_remoteness_score,essential_services_score,population_vulnerability_inputs_used,n_seifa_irsd_score,n_avg_persons_per_bedroom,n_indigenous_share_pct,population_vulnerability_score,institutional_capacity_inputs_used,n_own_source_revenue_share,n_indoor_staff_share,n_staff_per_1000_residents,institutional_capacity_score,deployment_evidence_inputs_used,n_ai_deployment_confirmed,deployment_evidence_score,synthetic_warning_inputs_used,n_disaster_events_alltime,n_mbsp_stations_per_1000_residents,n_pct_language_not_english_home,synthetic_warning_score,ai_risk_index,components_complete,adri_andri,ai_risk_rank,adri_rank,rank_shift
Lockhart River,Lockhart River Aboriginal Shire Council,indigenous,34570,True,702,3/3,1.0,0.0,0.5833,0.5458,3/3,0.8526,0.8782,0.8205,0.8535,3/3,0.9276,0.8288,0.0867,0.7298,0/1,,,3/3,0.25,0.8974,0.9423,0.6497,0.5911,4/5,0.3093,11,15,4
Lockyer Valley,Lockyer Valley Regional Council,regional_city,34580,False,46058,3/3,1.0,0.0,0.1667,0.4417,3/3,0.5256,0.3718,0.1795,0.3853,3/3,0.3618,0.6644,0.8333,0.5469,0/1,,,3/3,0.25,0.5769,0.609,0.4542,0.397,4/5,0.6303,72,73,1
Logan,Logan City Council,seq_metro,34590,False,403515,1/3,,,0.0256,0.0256,3/3,0.5641,0.3718,0.0962,0.3798,3/3,0.0789,0.9658,0.9533,0.5199,1/1,1.0,1.0,3/3,0.8205,0.7628,0.8269,0.8019,0.4685,4/5,0.5575,51,66,15
Longreach,Longreach Regional Council,very_remote,34710,False,3741,3/3,1.0,1.0,0.8269,0.9567,3/3,0.1346,0.0513,0.3013,0.1471,3/3,0.6118,0.3082,0.3533,0.4691,0/1,,,3/3,0.8205,0.3782,0.2692,0.5279,0.4621,4/5,0.475,56,49,-7
Mackay,Mackay Regional Council,outer_regional,34770,False,129253,3/3,1.0,1.0,0.2885,0.8221,3/3,0.1603,0.3718,0.3269,0.276,3/3,0.0592,0.7329,0.8067,0.4108,1/1,0.0,0.0,3/3,0.6282,0.6603,0.5513,0.6202,0.446,5/5,0.5762,63,67,4
Mapoon,Mapoon Aboriginal Shire Council,indigenous,34830,True,494,3/3,1.0,0.0,0.5833,0.5458,3/3,0.8846,0.8782,0.8013,0.8615,3/3,0.9671,0.0479,0.14,0.5259,0/1,,,3/3,0.25,0.8974,0.8654,0.6304,0.5296,4/5,0.3093,23,16,-7
Maranoa,Maranoa Regional Council,remote,34860,False,13370,3/3,1.0,1.0,0.5064,0.8766,3/3,0.1987,0.0513,0.5449,0.2337,3/3,0.5329,0.3904,0.3933,0.4622,0/1,,,3/3,0.6282,0.3397,0.3397,0.4551,0.4501,4/5,0.5038,62,60,-2
Mareeba,Mareeba Shire Council,remote,34880,False,24205,3/3,1.0,1.0,0.4936,0.8734,3/3,0.6218,0.6667,0.6346,0.6407,3/3,0.4539,0.5411,0.7,0.5293,0/1,,,3/3,0.6282,0.4103,0.7628,0.5856,0.5638,4/5,0.3628,18,23,5
McKinlay,McKinlay Shire Council,very_remote,34800,False,850,3/3,1.0,1.0,0.8269,0.9567,3/3,0.0833,0.3718,0.1795,0.2083,3/3,0.6645,0.2397,0.22,0.4482,0/1,,,3/3,0.25,0.1218,0.0449,0.1538,0.4307,4/5,0.385,68,26,-42
Moreton Bay,City of Moreton Bay,seq_metro,35010,False,532445,3/3,1.0,0.0,0.0705,0.4176,3/3,0.2308,0.3718,0.0833,0.2433,3/3,0.4276,0.8973,0.9667,0.6763,1/1,1.0,1.0,3/3,0.6282,0.6923,0.6603,0.6587,0.5718,5/5,0.6254,15,72,57
