short_name,council_name,abs_lga_name,abs_lga_code,stratum,is_local_government,is_indigenous_council,website,population_latest,population_latest_year,population_10yr_prior,census2021_total_persons,census2021_indigenous_persons,seifa_irsd_score,seifa_irsd_decile_aus,seifa_irsd_percentile_aus,seifa_irsd_decile_state,seifa_irsad_score,seifa_irsad_decile_aus,seifa_ier_score,seifa_ieo_score,median_age,median_personal_income_weekly,median_household_income_weekly,avg_household_size,avg_persons_per_bedroom,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,staff_data_year,staff_fte_indoor,staff_fte_outdoor,staff_fte_total,finance_data_year,total_operating_income_k,net_rates_and_utility_charges_k,employee_expenses_k,water_sewer_data_year,water_connections_total,water_connections_residential,sewerage_connections_total,adri_andri,adri_coping_capacity,adri_adaptive_capacity,adri_information_access,mean_remoteness_score,indigenous_share_pct,is_water_service_provider,above_soci_water_threshold,own_source_revenue_share,staff_per_1000_residents
Palm Island,Palm Island Aboriginal Shire Council,Palm Island,35790,indigenous,True,True,https://www.palmcouncil.qld.gov.au,2335,2025,2550,2098,1918,567,1,4,2,707,1,570,851,26,380,977,3.7,1.2,898,125,2167,2015_16,91,39,130,2015_16,20448,469,9163,2015_16,0,,0,0.1283,0.1232,0.1427,0.0213,4.0,91.4,False,False,0.023,55.67
Paroo,Paroo Regional Council,Paroo,35800,very_remote,True,False,https://www.paroo.qld.gov.au,1724,2025,1734,1679,603,866,1,9,3,884,2,857,921,44,529,920,2.2,0.8,1268,125,679,2015_16,42,58,100,2015_16,14316,3589,5656,2015_16,963,868,1046,0.3932,0.3602,0.3927,0.0702,5.0,35.9,True,False,0.251,58.0
Pormpuraaw,Pormpuraaw Aboriginal Shire Council,Pormpuraaw,36070,indigenous,True,True,https://www.pormpuraaw.qld.gov.au,650,2025,764,611,479,547,1,4,2,706,1,512,759,34,351,1071,3.4,1.2,947,120,0,2015_16,23,53,76,2015_16,11561,235,4225,2015_16,0,,0,0.1351,0.1392,0.145,0.0283,5.0,78.4,False,False,0.02,116.92
Quilpie,Quilpie Regional Council,Quilpie,36150,very_remote,True,False,https://quilpie.qld.gov.au/,720,2025,868,698,86,998,7,66,9,969,7,980,942,42,823,1312,2.4,0.8,1968,140,850,2015_16,17,47,64,2015_16,21857,4548,5443,2015_16,330,330,251,0.3932,0.3602,0.3927,0.0702,5.0,12.3,True,False,0.208,88.89
Redland,Redland Regional Council,Redland,36250,outer_regional,True,False,https://www.redland.qld.gov.au,172831,2025,150107,159222,4654,1024,8,80,10,1003,8,1041,979,43,786,1767,2.6,0.7,2131,420,1950,2015_16,694,176,870,2015_16,245517,209926,79301,2015_16,54603,52063,49582,0.6108,0.5675,0.564,0.3575,2.622,2.9,True,False,0.855,5.03
Richmond,Richmond Regional Council,Richmond,36300,very_remote,True,False,https://www.richmond.qld.gov.au,788,2025,820,761,55,1009,8,73,9,975,7,1005,924,37,918,1757,2.6,0.8,1929,133,800,2015_16,21,45,66,2015_16,10670,1472,4698,2015_16,397,281,329,0.385,0.4024,0.3565,0.0998,5.0,7.2,True,False,0.138,83.76
Rockhampton,Rockhampton Regional Council,Rockhampton,36370,regional_city,True,False,https://www.rockhamptonregion.qld.gov.au/,85794,2025,82026,81968,7102,949,3,30,5,924,3,960,910,37,758,1477,2.5,0.8,1888,280,1400,2015_16,491,363,854,2015_16,196559,126821,69474,2015_16,31850,29446,29429,0.5844,0.4687,0.5935,0.4388,2.0,8.7,True,False,0.645,9.95
Scenic Rim,Scenic Rim Regional Council,Scenic Rim,36510,regional_city,True,False,https://www.scenicrim.qld.gov.au,46947,2025,40307,42984,1574,986,6,55,8,959,6,1019,949,46,661,1410,2.6,0.8,1706,315,1733,2015_16,185,177,362,2015_16,65001,44193,25792,2015_16,0,,0,0.5016,0.4264,0.5048,0.134,1.876,3.7,False,False,0.68,7.71
Somerset,Somerset Regional Council,Somerset,36580,regional_city,True,False,https://www.somerset.qld.gov.au,26936,2025,24681,25057,1172,944,3,27,5,913,3,998,896,45,620,1312,2.6,0.8,1517,300,1500,2015_16,81,100,181,2015_16,35159,19289,13414,2015_16,N/A,N/A,N/A,0.508,0.5068,0.463,0.5817,1.885,4.7,,,0.549,6.72
South Burnett,South Burnett Regional Council,South Burnett,36630,regional_city,True,False,https://www.southburnett.qld.gov.au,35111,2025,32589,32996,2045,907,2,14,3,885,2,945,888,48,542,1045,2.3,0.8,1337,245,1083,2015_16,187,142,329,2015_16,62194,42132,22962,2015_16,9942,8326,7987,0.4209,0.3529,0.4347,0.2967,2.0,6.2,True,False,0.677,9.37
Southern Downs,Southern Downs Regional Council,Southern Downs,36660,regional_city,True,False,https://www.sdrc.qld.gov.au,38064,2025,35566,36290,1965,939,3,23,4,909,3,964,900,48,590,1108,2.3,0.7,1396,255,1300,2015_16,140,185,325,2015_16,67441,50187,24095,2015_16,12481,10687,12173,0.4956,0.3944,0.5158,0.273,2.005,5.4,True,False,0.744,8.54
Sunshine Coast,Sunshine Coast Regional Council,Sunshine Coast,36720,seq_metro,True,False,https://www.sunshinecoast.qld.gov.au,381957,2025,295317,342541,8332,1022,8,78,10,1001,8,1023,991,43,755,1595,2.5,0.8,1920,440,1915,2015_16,1320,341,1661,2015_16,410464,256292,123394,2015_16,0,,0,0.7306,0.6781,0.6524,0.5978,1.454,2.4,False,False,0.624,4.35
Tablelands,Tablelands Regional Council,Tablelands,36820,outer_regional,True,False,https://www.trc.qld.gov.au,27902,2025,25111,26244,2062,955,4,34,6,926,3,961,924,49,625,1167,2.3,0.8,1478,260,1352,2015_16,128,131,259,2015_16,53673,36876,21623,2015_16,9682,7369,5276,0.495,0.4122,0.5046,0.1003,3.0,7.9,True,False,0.687,9.28
Toowoomba,Toowoomba Regional Council,Toowoomba,36910,regional_city,True,False,https://www.tr.qld.gov.au,186276,2025,162775,173204,8677,979,6,51,7,959,6,983,959,39,743,1461,2.5,0.8,1847,300,1517,2015_16,809,631,1440,2015_16,288344,219077,112416,2015_16,60198,55412,46791,0.5048,0.4161,0.5136,0.4319,2.0,5.0,True,False,0.76,7.73
Torres,Torres Shire Council,Torres,36950,indigenous,True,True,https://www.torres.qld.gov.au,3490,2025,3753,3421,2358,904,2,13,3,939,4,824,981,30,877,2006,3.1,1.2,1951,200,1791,2015_16,20,65,85,2015_16,15343,5126,6133,2015_16,1269,1059,1369,0.3053,0.2617,0.3234,0.0621,5.0,68.9,True,False,0.334,24.36
Torres Strait Island,Torres Strait Island Regional Council,Torres Strait Island,36960,indigenous,True,True,https://tsirc.qld.gov.au/,4298,2025,4731,4124,3737,649,1,6,2,777,1,628,885,27,411,976,3.5,1,923,130,0,2015_16,171,143,314,2015_16,61468,1223,21858,2015_16,1368,1207,1526,0.2307,0.1816,0.259,0.0237,5.0,90.6,True,False,0.02,73.06
Townsville,Townsville Regional Council,Townsville,37010,outer_regional,True,False,https://www.townsville.qld.gov.au,206260,2025,190011,192768,16269,990,6,59,8,966,7,981,962,36,864,1701,2.5,0.8,2082,305,1517,2015_16,1020,710,1730,2015_16,384499,331327,136598,2015_16,84300,79500,72400,0.6645,0.5014,0.6858,0.2162,3.0,8.4,True,False,0.862,8.39
Weipa,Weipa Town Authority,Weipa,37300,very_remote,False,False,https://www.weipatownauthority.com.au,4297,2025,3964,4100,814,1058,10,92,10,1036,9,1011,944,30,1558,2978,2.9,1,3283,500,2063,,,,,,,,,,,,,0.4296,0.4995,0.3582,0.583,5.0,19.9,,,,
Western Downs,Western Downs Regional Council,Western Downs,37310,outer_regional,True,False,https://www.wdrc.qld.gov.au,35452,2025,33867,33843,2585,946,3,28,5,922,3,969,912,38,716,1374,2.5,0.8,1713,240,1300,2015_16,297,356,653,2015_16,145124,66621,49768,2015_16,11518,10290,9762,0.4188,0.3265,0.4473,0.1342,2.848,7.6,True,False,0.459,18.42
Whitsunday,Whitsunday Regional Council,Whitsunday,37340,outer_regional,True,False,https://www.whitsundayrc.qld.gov.au/,41374,2025,34509,37152,2156,969,5,44,7,935,4,977,899,40,795,1472,2.4,0.8,1856,300,1612,2015_16,176,187,363,2015_16,104248,76422,27172,2015_16,14661,13525,11747,0.4447,0.4426,0.4156,0.1203,3.013,5.8,True,False,0.733,8.77
Winton,Winton Regional Council,Winton,37400,very_remote,True,False,https://www.winton.qld.gov.au,1152,2025,1222,1129,82,993,7,62,8,959,6,972,932,45,882,1316,2.1,0.8,2048,150,863,2015_16,43,54,97,2015_16,17251,3587,7206,2015_16,612,596,560,0.4189,0.3681,0.4241,0.0882,5.0,7.3,True,False,0.208,84.2
Woorabinda,Woorabinda Aboriginal Shire Council,Woorabinda,37550,indigenous,True,True,https://www.woorabinda.qld.gov.au,1087,2025,989,1019,933,492,1,1,1,659,1,513,816,23,361,684,3.3,1.2,707,120,0,2015_16,,,,2015_16,,,,2015_16,N/A,N/A,N/A,0.4383,0.3589,0.4567,0.1193,3.0,91.6,,,,
Wujal Wujal,Wujal Wujal Aboriginal Shire Council,Wujal Wujal,37570,indigenous,True,True,https://www.wujalwujalcouncil.qld.gov.au,301,2025,287,276,258,510,1,2,1,692,1,542,862,29,332,840,3.2,1.2,833,70,0,2015_16,35,41,76,2015_16,7893,0,2993,2015_16,0,,0,0.3093,0.2935,0.3123,0.0569,4.0,93.5,False,False,0.0,252.49
Yarrabah,Yarrabah Aboriginal Shire Council,Yarrabah,37600,indigenous,True,True,https://www.yarrabah.qld.gov.au,2669,2025,2695,2505,2402,512,1,2,1,678,1,569,788,25,337,1254,4.5,1.5,911,150,1392,2015_16,36,79,115,2015_16,15598,572,5710,2015_16,0,,0,0.2662,0.1585,0.3195,0.0263,3.0,95.9,False,False,0.037,43.09
