short_name,council_name,abs_lga_name,abs_lga_code,stratum,is_local_government,is_indigenous_council,website,population_latest,population_latest_year,population_10yr_prior,census2021_total_persons,census2021_indigenous_persons,seifa_irsd_score,seifa_irsd_decile_aus,seifa_irsd_percentile_aus,seifa_irsd_decile_state,seifa_irsad_score,seifa_irsad_decile_aus,seifa_ier_score,seifa_ieo_score,median_age,median_personal_income_weekly,median_household_income_weekly,avg_household_size,avg_persons_per_bedroom,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,staff_data_year,staff_fte_indoor,staff_fte_outdoor,staff_fte_total,finance_data_year,total_operating_income_k,net_rates_and_utility_charges_k,employee_expenses_k,water_sewer_data_year,water_connections_total,water_connections_residential,sewerage_connections_total,adri_andri,adri_coping_capacity,adri_adaptive_capacity,adri_information_access,mean_remoteness_score,indigenous_share_pct,is_water_service_provider,above_soci_water_threshold,own_source_revenue_share,staff_per_1000_residents
Cassowary Coast,Cassowary Coast Regional Council,Cassowary Coast,32260,outer_regional,True,False,https://www.cassowarycoast.qld.gov.au,30666,2025,29098,29157,3206,929,3,21,4,902,2,941,888,46,647,1204,2.3,0.8,1475,250,1300,2015_16,117,202,319,2015_16,74153,61422,23701,2015_16,12786,10920,5972,0.5236,0.3875,0.5594,0.0899,3.0,11.0,True,False,0.828,10.4
Central Highlands,Central Highlands Regional Council,Central Highlands (Qld),32270,remote,True,False,https://chrc.qld.gov.au,29481,2025,29143,27836,1639,996,7,64,9,961,6,1003,914,34,1011,2095,2.6,0.8,2443,250,1500,2015_16,208,229,437,2015_16,123076,80509,38150,2015_16,12106,10557,15724,0.4758,0.4274,0.468,0.125,3.694,5.9,True,False,0.654,14.82
Charters Towers,Charters Towers Regional Council,Charters Towers,32310,remote,True,False,https://www.charterstowers.qld.gov.au,12088,2025,12235,11794,1143,933,3,22,4,908,2,945,894,42,669,1307,2.4,0.8,1734,220,1300,2015_16,77,134,211,2015_16,35300,20792,18354,2015_16,4717,3737,3230,0.4937,0.4168,0.5001,0.0869,3.999,9.7,True,False,0.589,17.46
Cherbourg,Cherbourg Aboriginal Shire Council,Cherbourg,32330,indigenous,True,True,https://www.cherbourg.qld.gov.au,1289,2025,1304,1194,1151,498,1,2,1,660,1,561,814,23,375,793,3.4,1,803,100,0,2015_16,,,,2015_16,6464,0,3225,2015_16,,,,0.384,0.2963,0.4153,0.0797,2.0,96.4,,,0.0,
Cloncurry,Cloncurry Regional Council,Cloncurry,32450,remote,True,False,https://www.cloncurry.qld.gov.au,3907,2025,3179,3644,868,965,5,41,6,939,4,936,903,34,1190,1879,2.5,0.8,2321,220,1200,2015_16,49,56,105,2015_16,25545,13460,6550,2015_16,1176,1003,917,0.3273,0.312,0.3274,0.1097,4.0,23.8,True,False,0.527,26.87
Cook,Cook Regional Council,Cook,32500,remote,True,False,https://www.cook.qld.gov.au,4876,2025,4217,4511,951,913,2,16,4,912,3,885,937,42,669,1159,2.3,1,1494,200,1300,2015_16,51,65,116,2015_16,17943,6564,8528,2015_16,1049,920,724,0.3093,0.2935,0.3123,0.0569,4.0,21.1,True,False,0.366,23.79
Croydon,Croydon Regional Council,Croydon,32600,very_remote,True,False,https://www.croydon.qld.gov.au,273,2025,297,266,76,876,1,10,3,890,2,839,867,35,819,1375,2.7,1,1937,148,0,2015_16,11,22,33,2015_16,10931,609,4037,2015_16,7,2,0,0.3402,0.3357,0.3323,0.0812,5.0,28.6,True,False,0.056,120.88
Diamantina,Diamantina Regional Council,Diamantina,32750,very_remote,True,False,https://www.diamantina.qld.gov.au,265,2025,301,266,58,952,4,31,6,942,5,884,898,39,1074,1792,2.1,0.9,2187,140,953,2015_16,22,36,58,2015_16,19637,919,4343,2015_16,N/A,N/A,0,0.4189,0.3681,0.4241,0.0882,5.0,21.8,,,0.047,218.87
Doomadgee,Doomadgee Aboriginal Shire Council,Doomadgee,32770,indigenous,True,True,https://www.doomadgee.qld.gov.au,1484,2025,1454,1387,1238,534,1,3,1,696,1,580,846,25,354,1223,4.2,1.5,882,120,737,2015_16,,,0,2015_16,12949,557,3483,2015_16,,,,0.2639,0.2123,0.2905,0.0483,5.0,89.3,,,0.043,0.0
Douglas,Douglas Regional Council,Douglas,32810,outer_regional,True,False,https://douglas.qld.gov.au/,13169,2025,11877,12337,1039,979,6,51,7,944,5,967,936,46,736,1310,2.3,0.8,1682,310,1517,2015_16,77,84,161,2015_16,37674,29471,12252,2015_16,8822,7623,8103,0.5371,0.408,0.5659,0.1477,3.0,8.4,True,False,0.782,12.23
