"short_name","council_name","abs_lga_name","abs_lga_code","stratum","is_local_government","is_indigenous_council","website","population_latest","population_latest_year","population_10yr_prior","census2021_total_persons","census2021_indigenous_persons","seifa_irsd_score","seifa_irsd_decile_aus","seifa_irsd_percentile_aus","seifa_irsd_decile_state","seifa_irsad_score","seifa_irsad_decile_aus","seifa_ier_score","seifa_ieo_score","median_age","median_personal_income_weekly","median_household_income_weekly","avg_household_size","avg_persons_per_bedroom","median_family_income_weekly","median_rent_weekly","median_mortgage_monthly","staff_data_year","staff_fte_indoor","staff_fte_outdoor","staff_fte_total","finance_data_year","total_operating_income_k","net_rates_and_utility_charges_k","employee_expenses_k","water_sewer_data_year","water_connections_total","water_connections_residential","sewerage_connections_total","adri_andri","adri_coping_capacity","adri_adaptive_capacity","adri_information_access","mean_remoteness_score","indigenous_share_pct","is_water_service_provider","above_soci_water_threshold","own_source_revenue_share","staff_per_1000_residents","adri_social_character","adri_economic_capital","adri_planning_build_environment","adri_emergency_services","adri_govt_leadership","adri_community_social_engagement","adri_community_capital","url_status","worst_remoteness_score","icfp_eligible","deamalgamated_2014","ai_status","ai_infrastructure_type","ai_source","water_utility","water_control_tier","water_connections_2023_24","meets_soci_threshold","has_published_ai_governance_policy","ai_detail","ai_region","ai_policy_scan_result","ai_policy_url","airports_total","airports_council_operated","airports_external","has_lifeline_airstrip","airport_control_tier","roads_data_year","road_km_rural","road_km_urban","road_km_total","waste_data_year","waste_properties_serviced","waste_tonnes_domestic","waste_collection_cost_k","isolated_power_network","isolated_power_confidence","indoor_staff_share","water_connections_best","water_connections_vintage","ai_deployment_confirmed"
"Croydon","Croydon Shire Council","Croydon","32600","very_remote","True","False","https://www.croydon.qld.gov.au","273","2025","297","266","76","876","1","10","3","890","2","839","867","35","819","1375","2.7","1","1937","148","0","2015_16","11","22","33","2015_16","10931","609","4037","2015_16","7","2","0","0.3402","0.3357","0.3323","0.0812","5.0","28.6","True","False","0.056","120.88","0.9877","0.4113","0.2915","0.3043","0.4845","0.224","0.4067","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","not checked","","","","","","","2015_16","1042.0","46.0","1088.0","2015_16","105.0","110.0","37.0","False","grid-connected (not on Ergon list)","0.333","7","2015_16","False"
"Diamantina","Diamantina Shire Council","Diamantina","32750","very_remote","True","False","https://www.diamantina.qld.gov.au","265","2025","301","266","58","952","4","31","6","942","5","884","898","39","1074","1792","2.1","0.9","2187","140","953","2015_16","22","36","58","2015_16","19637","919","4343","2015_16","N/A","N/A","0","0.4189","0.3681","0.4241","0.0882","5.0","21.8","","","0.047","218.87","0.7411","0.4701","0.4698","0.357","0.6176","0.2098","0.4284","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Central Queensland","not checked","","2","2","0","False","council-operated","2015_16","1037.0","24.0","1061.0","2015_16","104.0","135.0","112.0","True","verified — named on ergon.com.au","0.379","","","False"
"Doomadgee","Doomadgee Aboriginal Shire Council","Doomadgee","32770","indigenous","True","True","https://www.doomadgee.qld.gov.au","1484","2025","1454","1387","1238","534","1","3","1","696","1","580","846","25","354","1223","4.2","1.5","882","120","737","2015_16","","","0","2015_16","12949","557","3483","2015_16","","","","0.2639","0.2123","0.2905","0.0483","5.0","89.3","","","0.043","0.0","0.5313","0.4003","0.3512","0.45","0.4513","0.1848","0.0745","verified","5","True","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Townsville-North West","not checked","","1","1","0","True","lifeline","2015_16","98.0","15.0","113.0","2015_16","","","","True","verified — named on ergon.com.au","","","","False"
"Douglas","Douglas Shire Council","Douglas","32810","outer_regional","True","False","https://douglas.qld.gov.au/","13169","2025","11877","12337","1039","979","6","51","7","944","5","967","936","46","736","1310","2.3","0.8","1682","310","1517","2015_16","77","84","161","2015_16","37674","29471","12252","2015_16","8822","7623","8103","0.5371","0.408","0.5659","0.1477","3.0","8.4","True","False","0.782","12.23","0.6113","0.6633","0.6211","0.3946","0.6258","0.4929","0.2958","verified","3","False","True","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","not checked","","","","","","","2015_16","308.0","64.0","372.0","2015_16","7578.0","4647.0","488.0","False","grid-connected (not on Ergon list)","0.478","8822","2015_16","False"
"Etheridge","Etheridge Shire Council","Etheridge","33100","very_remote","True","False","https://www.etheridge.qld.gov.au","727","2025","818","714","46","982","6","53","7","961","6","968","949","46","744","1145","2.2","1","1441","160","758","2015_16","24","29","53","2015_16","14116","2643","4428","2015_16","236","200","0","0.3402","0.3357","0.3323","0.0812","5.0","6.4","True","False","0.187","72.9","0.9877","0.4113","0.2915","0.3043","0.4845","0.224","0.4067","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","not checked","","","","","","","2015_16","1706.0","51.0","1757.0","2015_16","135.0","265.0","45.0","False","grid-connected (not on Ergon list)","0.453","236","2015_16","False"
"Flinders","Flinders Shire Council","Flinders (Qld)","33200","very_remote","True","False","https://www.flinders.qld.gov.au","1545","2025","1643","1500","169","970","5","44","7","945","5","960","930","42","821","1343","2.3","0.8","1743","160","758","2015_16","30","57","87","2015_16","17842","3575","6148","2015_16","951","705","785","0.385","0.4024","0.3565","0.0998","5.0","11.3","True","False","0.2","56.31","0.8157","0.4996","0.517","0.4485","0.4973","0.2562","0.3629","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Townsville-North West","not checked","","1","1","0","True","lifeline","2015_16","1947.0","45.0","1992.0","2015_16","592.0","1146.0","166.0","False","grid-connected (not on Ergon list)","0.345","951","2015_16","False"
"Fraser Coast","Fraser Coast Regional Council","Fraser Coast","33220","regional_city","True","False","https://www.frasercoast.qld.gov.au","122924","2025","102129","111032","5647","915","2","17","4","890","2","954","886","51","533","1062","2.3","0.7","1293","300","1300","2015_16","376","326","702","2015_16","204006","158668","50110","2015_16","38392","35698","32229","0.4294","0.3881","0.4267","0.129","2.388","5.1","True","False","0.778","5.71","0.5134","0.6716","0.3662","0.4346","0.4777","0.4323","0.4312","verified (blocks bots)","3","False","False","No evidence found","","","Fraser Coast Regional Council","direct (council-operated)","42799","False","False","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Wide Bay-Burnett","NOT FOUND","","1","1","0","False","council-operated","2015_16","1491.0","1118.0","2609.0","2015_16","41323.0","33438.0","4695.0","False","grid-connected (not on Ergon list)","0.536","42799","2023_24","False"
"Gladstone","Gladstone Regional Council","Gladstone","33360","regional_city","True","False","https://www.gladstone.qld.gov.au","69046","2025","63697","63515","3946","954","4","33","6","926","3","975","898","38","758","1639","2.5","0.8","2048","275","1600","2015_16","397","244","641","2015_16","191397","138619","54837","2015_16","22625","20796","22931","0.5146","0.4544","0.5061","0.1358","2.0","6.2","True","False","0.724","9.28","0.652","0.6665","0.5582","0.4304","0.5203","0.5313","0.435","verified (blocks bots)","2","False","False","No evidence found","","","Gladstone Regional Council","direct (council-operated)","26362","False","False","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Central Queensland","NOT FOUND","","1","1","0","False","council-operated","2015_16","2146.0","496.0","2642.0","2015_16","24761.0","16471.0","2464.0","False","grid-connected (not on Ergon list)","0.619","26362","2023_24","False"
"Gold Coast","City of Gold Coast","Gold Coast","33430","seq_metro","True","False","https://www.goldcoast.qld.gov.au/Home","691230","2025","561629","625087","13593","1019","8","77","10","1009","9","1015","1001","39","787","1691","2.5","0.8","2010","450","1950","2015_16","2522","1258","3780","2015_16","1198445","1007970","311137","2015_16","247246","231221","235500","0.6906","0.6044","0.6508","0.56","1.0","2.2","True","True","0.841","5.47","0.6191","0.7539","0.5803","0.3963","0.699","0.5482","0.5069","verified","1","False","False","AI-adjacent (IoT/smart, no AI confirmed)","Flood monitoring","HiLo Monitoring","City of Gold Coast","direct (council-operated)","279107","True","False","HiLo flood monitoring sites, FWIN-funded. HiLo markets predictive/AI-enabled sensing generally, but Gold Coast-specific AI decisioning not independently confirmed in sources found.","South East Queensland","NOT FOUND","","1","0","1","False","external","2015_16","677.0","2562.0","3239.0","2015_16","227812.0","208729.0","29399.0","False","grid-connected (not on Ergon list)","0.667","279107","2023_24","False"
"Goondiwindi","Goondiwindi Regional Council","Goondiwindi","33610","outer_regional","True","False","https://www.grc.qld.gov.au","10438","2025","10835","10310","803","965","4","40","6","938","4","976","921","40","754","1394","2.5","0.8","1735","250","1300","2015_16","54","101","155","2015_16","32017","18578","12053","2015_16","4144","3291","3444","0.4297","0.3314","0.4599","0.102","3.0","7.8","True","False","0.58","14.85","0.6729","0.4147","0.516","0.3868","0.5132","0.4483","0.3144","verified (blocks bots)","3","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Darling Downs-South West","not checked","","","","","","","2015_16","2346.0","138.0","2484.0","2015_16","4126.0","6012.0","467.0","False","grid-connected (not on Ergon list)","0.348","4144","2015_16","False"
"Gympie","Gympie Regional Council","Gympie","33620","regional_city","True","False","https://www.gympie.qld.gov.au","58487","2025","49540","53242","2331","930","3","21","4","896","2","972","889","48","554","1115","2.4","0.8","1359","290","1327","2015_16","243","220","463","2015_16","79891","62212","29742","2015_16","14312","12869","12356","0.4848","0.4372","0.475","0.1948","2.0","4.4","True","False","0.779","7.92","0.6286","0.6084","0.3976","0.4373","0.5199","0.4691","0.5486","verified (blocks bots)","2","False","False","No evidence found","","","Gympie Regional Council","direct (council-operated)","15234","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Wide Bay-Burnett","not checked","","","","","","","2015_16","1963.0","320.0","2283.0","2015_16","19190.0","16502.0","2879.0","False","grid-connected (not on Ergon list)","0.525","15234","2023_24","False"
"Hinchinbrook","Hinchinbrook Shire Council","Hinchinbrook","33800","outer_regional","True","False","https://www.hinchinbrook.qld.gov.au","11194","2025","11181","10920","756","954","4","33","6","911","3","953","884","51","644","1158","2.2","0.7","1555","200","1170","2015_16","80","95","175","2015_16","36734","24140","13267","2015_16","5182","4183","2832","0.5016","0.4328","0.5014","0.078","3.0","6.9","True","False","0.657","15.63","0.7393","0.549","0.634","0.4128","0.4992","0.5532","0.4225","verified","3","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Townsville-North West","not checked","","","","","","","2015_16","601.0","92.0","693.0","2015_16","5545.0","3767.0","951.0","False","grid-connected (not on Ergon list)","0.457","5182","2015_16","False"
"Hope Vale","Hope Vale Aboriginal Shire Council","Hope Vale","33830","indigenous","True","True","https://www.hopevale.qld.gov.au","1073","2025","1009","976","863","631","1","5","2","722","1","634","815","28","386","836","3.1","1.1","874","120","975","2015_16","15","82","97","2015_16","19236","0","5292","2015_16","0","","0","0.3093","0.2935","0.3123","0.0569","4.0","88.4","False","False","0.0","90.4","0.5131","0.4869","0.453","0.4082","0.473","0.1986","0.2582","verified (blocks bots)","4","True","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","not checked","","","","","","","2015_16","118.0","14.0","132.0","2015_16","257.0","1185.0","181.0","False","grid-connected (not on Ergon list)","0.155","0","2015_16","False"
"Ipswich","Ipswich City Council","Ipswich","33960","seq_metro","True","False","https://www.ipswich.qld.gov.au","268272","2025","194274","229208","12509","958","4","35","6","940","4","980","934","33","795","1668","2.8","0.8","1936","330","1600","2015_16","653","378","1031","2015_16","275954","164742","79786","2015_16","0","","0","0.4865","0.4664","0.4583","0.6021","1.008","5.5","False","False","0.597","3.84","0.5871","0.7021","0.4207","0.4345","0.5229","0.4296","0.217","verified (blocks bots)","2","False","False","No evidence found","","Shape Your Ipswich privacy statement","Urban Utilities","bulk-authority (dependent)","676983","True","False","No AI-infrastructure deployment found in sources searched. Council uses AI in a resident-engagement platform (Shape Your Ipswich) for content moderation/summarisation only — not physical infrastructure.","South East Queensland","DISCLOSURE ONLY","https://www.ipswich.qld.gov.au/files/assets/public/v/1/about-council/media-and-publications/corporate-publications/privacy-statement/documents/personalinformationdigest_2025.pdf","","","","","","2015_16","573.0","1176.0","1749.0","2015_16","69343.0","49597.0","7574.0","False","grid-connected (not on Ergon list)","0.633","676983","2023_24","False"
"Isaac","Isaac Regional Council","Isaac","33980","outer_regional","True","False","https://www.isaac.qld.gov.au","23186","2025","22173","22046","1164","1012","8","74","9","971","7","993","905","34","1314","2420","2.6","0.8","2910","113","1213","2015_16","205","182","387","2015_16","96322","75896","31185","2015_16","N/A","N/A","0","0.4734","0.4533","0.4491","0.1288","3.471","5.3","","","0.788","16.69","0.7551","0.4822","0.6433","0.4178","0.5049","0.4383","0.5184","verified (blocks bots)","4","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Mackay-Whitsunday-Isaac","not checked","","3","3","0","False","council-operated","2015_16","3057.0","197.0","3254.0","2015_16","8894.0","8351.0","1373.0","False","grid-connected (not on Ergon list)","0.53","","","False"
"Kowanyama","Kowanyama Aboriginal Shire Council","Kowanyama","34420","indigenous","True","True","https://www.kowanyama.qld.gov.au","1155","2025","996","1079","937","528","1","3","1","686","1","509","765","29","341","1132","3.7","1.3","858","115","0","2015_16","58","33","91","2015_16","17874","966","6985","2015_16","127","","47","0.1351","0.1392","0.145","0.0283","5.0","86.8","True","False","0.054","78.79","0.3527","0.0568","0.7829","0.1458","0.2771","0.1237","0.1269","verified","5","True","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","not checked","","1","1","0","False","council-operated","2015_16","345.0","8.0","353.0","2015_16","320.0","1040.0","50.0","True","verified — named on ergon.com.au","0.637","127","2015_16","False"
"Livingstone","Livingstone Shire Council","Livingstone","34530","outer_regional","True","False","https://www.livingstone.qld.gov.au","43668","2025","36579","39398","2118","1005","7","70","9","970","7","1030","935","43","765","1625","2.5","0.8","2008","350","1733","2015_16","241","121","362","2015_16","89805","62780","29884","2015_16","14096","13349","10822","0.6164","0.5488","0.5865","0.1817","2.882","5.4","True","False","0.699","8.29","0.8482","0.7454","0.6031","0.4472","0.6273","0.5325","0.4752","verified (blocks bots)","3","False","True","Confirmed AI","Road/footpath network survey","Central Queensland Today (25 Nov 2025)","Livingstone Shire Council","direct (council-operated)","14078","False","","AI-based electronic survey technology rolled out to assess road and footpath network condition (Nov 2025).","Central Queensland","not checked","","","","","","","2015_16","1170.0","258.0","1428.0","2015_16","11941.0","8512.0","1928.0","False","grid-connected (not on Ergon list)","0.666","14078","2023_24","True"
"Lockhart River","Lockhart River Aboriginal Shire Council","Lockhart River","34570","indigenous","True","True","https://lockhart.qld.gov.au","702","2025","697","640","502","622","1","5","2","744","1","582","794","27","420","1066","3.4","1.2","959","125","0","2015_16","49","32","81","2015_16","18346","122","4547","2015_16","0","","0","0.3093","0.2935","0.3123","0.0569","4.0","78.4","False","False","0.007","115.38","0.5131","0.4869","0.453","0.4082","0.473","0.1986","0.2582","verified (hand-resolved)","4","True","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","not checked","","1","1","0","False","council-operated","2015_16","161.0","11.0","172.0","2015_16","145.0","","183.0","True","verified — named on ergon.com.au","0.605","0","2015_16","False"
"Lockyer Valley","Lockyer Valley Regional Council","Lockyer Valley","34580","regional_city","True","False","https://www.lockyervalley.qld.gov.au","46058","2025","38861","41101","2092","948","3","29","5","921","3","997","902","39","665","1457","2.7","0.8","1684","300","1500","2015_16","154","153","307","2015_16","55123","33725","23825","2015_16","0","Not issued by Council","0","0.6303","0.5379","0.6135","0.5943","2.0","5.1","False","False","0.612","6.67","0.6525","0.7461","0.4892","0.4425","0.6569","0.5384","0.2915","verified","2","False","False","No evidence found","","","Urban Utilities","bulk-authority (dependent)","676983","True","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","South East Queensland","not checked","","","","","","","2015_16","1074.0","355.0","1429.0","2015_16","13786.0","10903.0","2807.0","False","grid-connected (not on Ergon list)","0.502","676983","2023_24","False"
"Logan","Logan City Council","Logan","34590","seq_metro","True","False","https://www.logan.qld.gov.au","403515","2025","309342","345098","14520","944","3","27","5","930","4","985","916","34","736","1616","2.9","0.8","1825","350","1733","2015_16","1169","362","1531","2015_16","460677","381336","128204","2015_16","N/A","N/A","0","0.5575","0.4871","0.5427","0.5997","1.0","4.2","","","0.828","3.79","0.5408","0.6999","0.4782","0.4011","0.596","0.4908","0.3028","verified (blocks bots)","1","False","False","Confirmed AI","Road maintenance","Council Magazine (27 Jun 2023)","Logan City Council","direct (council-operated)","142488","True","False","AI tools deployed to identify road defects as part of $265M roads/drainage capital program (2023-24 budget onward).","South East Queensland","NOT FOUND","","","","","","","2015_16","1034.0","1350.0","2384.0","2015_16","105502.0","78663.0","10302.0","False","grid-connected (not on Ergon list)","0.764","142488","2023_24","True"
"Longreach","Longreach Regional Council","Longreach","34710","very_remote","True","False","https://www.longreach.qld.gov.au","3741","2025","3812","3647","223","1003","7","69","9","976","7","967","967","40","938","1561","2.3","0.7","2094","200","1083","2015_16","64","98","162","2015_16","33447","9010","12622","2015_16","2171","1792","2800","0.475","0.5014","0.4207","0.1097","5.0","6.1","True","False","0.269","43.3","0.7046","0.6579","0.5684","0.4577","0.5758","0.2701","0.5518","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","False","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Central Queensland","YES","https://www.longreach.qld.gov.au/files/assets/public/v/1/about-council/documents/policies/121-artificial-intelligence-policy-17072025.pdf","1","1","0","False","council-operated","2015_16","2658.0","90.0","2748.0","2015_16","1460.0","","236.0","False","grid-connected (not on Ergon list)","0.395","2171","2015_16","False"
"Mackay","Mackay Regional Council","Mackay","34770","outer_regional","True","False","https://www.mackay.qld.gov.au","129253","2025","118292","121691","7507","999","7","67","9","961","6","1007","917","38","866","1853","2.6","0.8","2215","340","1733","2015_16","471","405","876","2015_16","255609","214040","78145","2015_16","45007","41342","39006","0.5762","0.4814","0.5747","0.1835","2.85","6.2","True","False","0.837","6.78","0.7534","0.7074","0.4939","0.4362","0.6321","0.5009","0.4465","verified (blocks bots)","3","False","False","AI-adjacent (IoT/smart, no AI confirmed) + non-infrastructure AI in use","Water leak detection (IoT); customer service AI (non-infrastructure)","Mackay Regional Council media release (Jun 2026); Utility Magazine (2019)","Mackay Regional Council","direct (council-operated)","57506","False","False","MiWater smart-water leak-detection software (IoT-based, commercialised via Taggle Systems) — not confirmed as AI-decisioning. Separately, council's 2026/27 budget funds LUNA, an AI after-hours digital assistant for call triage — customer service AI, not physical infrastructure control.","Mackay-Whitsunday-Isaac","DEPLOYS NO POLICY","","1","1","0","False","council-operated","2015_16","1819.0","661.0","2480.0","2015_16","45000.0","32471.0","4880.0","False","grid-connected (not on Ergon list)","0.538","57506","2023_24","False"
"Mapoon","Mapoon Aboriginal Shire Council","Mapoon","34830","indigenous","True","True","https://www.mapoon.qld.gov.au","494","2025","304","432","338","567","1","4","2","700","1","569","795","27","365","1010","3.6","1.2","924","120","0","2015_16","8","36","44","2015_16","9529","0","3060","2015_16","0","","0","0.3093","0.2935","0.3123","0.0569","4.0","78.2","False","False","0.0","89.07","0.5131","0.4869","0.453","0.4082","0.473","0.1986","0.2582","verified (blocks bots)","4","True","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","not checked","","","","","","","2015_16","40.0","17.0","57.0","2015_16","75.0","306.0","53.0","True","verified — named on ergon.com.au","0.182","0","2015_16","False"
"Maranoa","Maranoa Regional Council","Maranoa","34860","remote","True","False","https://www.maranoa.qld.gov.au","13370","2025","13292","12825","1249","995","7","64","8","966","7","988","944","38","875","1588","2.5","0.7","2042","220","1300","2015_16","174","233","407","2015_16","75694","28090","33088","2015_16","4900","4190","4064","0.5038","0.456","0.49","0.1122","3.998","9.7","True","False","0.371","30.44","0.8761","0.4586","0.5664","0.3883","0.5399","0.47","0.5813","verified (blocks bots)","4","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Darling Downs-South West","not checked","","1","1","0","False","council-operated","2015_16","5655.0","171.0","5826.0","2015_16","4018.0","4461.0","790.0","False","grid-connected (not on Ergon list)","0.428","4900","2015_16","False"
"Mareeba","Mareeba Shire Council","Mareeba","34880","remote","True","False","https://msc.qld.gov.au/","24205","2025","21812","22858","3260","937","3","23","4","921","3","952","922","43","655","1269","2.5","0.9","1596","275","1517","2015_16","97","114","211","2015_16","51081","26418","17006","2015_16","5635","4075","3790","0.3628","0.4204","0.3145","0.1011","3.98","14.3","True","False","0.517","8.72","0.6847","0.5529","0.6066","0.4468","0.4776","0.1961","0.3833","verified","4","False","True","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","not checked","","1","1","0","False","council-operated","2015_16","2091.0","217.0","2308.0","2015_16","7278.0","5221.0","1500.0","False","grid-connected (not on Ergon list)","0.46","5635","2015_16","False"
"McKinlay","McKinlay Shire Council","McKinlay","34800","very_remote","True","False","https://www.mckinlay.qld.gov.au","850","2025","876","836","43","1014","8","75","10","977","7","1017","937","36","1074","1733","2.5","0.8","2297","130","550","2015_16","26","45","71","2015_16","12881","2765","4773","2015_16","430","310","359","0.385","0.4024","0.3565","0.0998","5.0","5.1","True","False","0.215","83.53","0.8157","0.4996","0.517","0.4485","0.4973","0.2562","0.3629","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Townsville-North West","not checked","","1","1","0","True","lifeline","2015_16","1605.0","28.0","1633.0","2015_16","259.0","1178.0","74.0","False","grid-connected (not on Ergon list)","0.366","430","2015_16","False"
"Moreton Bay","City of Moreton Bay","Moreton Bay","35010","seq_metro","True","False","https://www.moretonbay.qld.gov.au","532445","2025","428994","476340","18616","992","7","61","8","970","7","1012","955","39","761","1648","2.6","0.8","1957","360","1777","2015_16","968","509","1477","2015_16","482452","261086","126470","2015_16","0","","0","0.6254","0.6076","0.5571","0.6039","1.053","3.9","False","False","0.541","2.77","0.6664","0.7836","0.4285","0.3852","0.557","0.5778","0.5389","verified (blocks bots)","2","False","False","Confirmed AI","Traffic signals; road/pothole detection","AfMA (Jul 2026); CarExpert (Jul 2026); newscop.com.au (Feb 2026)","Unitywater","bulk-authority (dependent)","358160","True","False","AI-adaptive traffic signal trial (Petrie intersection), expanding to busier intersections. AI dashcam-based pothole detection on waste trucks since 2020; 4,547 of 12,896 pothole repairs AI-flagged in latest 6-month period.","South East Queensland","DEPLOYS NO POLICY","","","","","","","2015_16","1341.0","2295.0","3636.0","2015_16","151110.0","141274.0","10982.0","False","grid-connected (not on Ergon list)","0.655","358160","2023_24","True"
"Mornington","Mornington Shire Council","Mornington","35250","indigenous","True","True","https://www.mornington.qld.gov.au","1099","2025","1202","1025","822","609","1","5","2","747","1","588","899","29","285","855","3.5","1.2","624","104","0","2015_16","14","82","96","2015_16","14927","1665","6365","2015_16","0","","0","0.2639","0.2123","0.2905","0.0483","5.0","80.2","False","False","0.112","87.35","0.5313","0.4003","0.3512","0.45","0.4513","0.1848","0.0745","verified","5","True","False","","","","","","","False","","","","not checked","","1","1","0","True","lifeline","2015_16","144.0","14.0","158.0","2015_16","264.0","720.0","","True","verified — named on ergon.com.au","0.146","0","2015_16","False"
"Mount Isa","Mount Isa City Council","Mount Isa","35300","remote","True","False","https://www.mountisa.qld.gov.au","18585","2025","20586","18727","4020","972","5","45","7","954","6","938","927","31","1155","2231","2.6","0.9","2647","270","1536","2015_16","70","96","166","2015_16","52140","37282","11676","2015_16","7390","6716","7132","0.3163","0.2947","0.321","0.0998","4.174","21.5","True","False","0.715","8.93","0.6758","0.4546","0.3985","0.4482","0.4518","0.2495","0.1921","verified (blocks bots)","5","False","False","AI-adjacent (IoT/smart, no AI confirmed)","Water metering","Jacobs newsroom (2026)","","","","False","False","$2.3M advanced metering infrastructure (AMI) smart water meter program for consumption tracking and leak identification. IoT-based; no AI-specific decisioning confirmed.","Townsville-North West","NOT FOUND","","1","1","0","False","council-operated","2015_16","1872.0","161.0","2033.0","2015_16","6942.0","7386.0","3533.0","True","verified — named on ergon.com.au","0.422","7390","2015_16","False"
"Murweh","Murweh Shire Council","Murweh","35600","very_remote","True","False","https://www.murweh.qld.gov.au","4004","2025","4527","3971","458","948","3","29","5","930","4","943","930","43","798","1294","2.2","0.7","1766","170","867","2015_16","30","77","107","2015_16","17718","6084","6818","2015_16","2182","1919","1648","0.4413","0.4252","0.4216","0.0819","5.0","11.5","True","False","0.343","26.72","0.5523","0.5862","0.5215","0.4598","0.5919","0.2462","0.4971","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Darling Downs-South West","not checked","","1","1","0","False","council-operated","2015_16","2701.0","81.0","2782.0","2015_16","1807.0","2110.0","431.0","False","grid-connected (not on Ergon list)","0.28","2182","2015_16","False"
"Napranum","Napranum Aboriginal Shire Council","Napranum","35670","indigenous","True","True","https://www.napranum.qld.gov.au","952","2025","959","883","716","623","1","5","2","738","1","619","818","27","342","788","3.7","1.3","924","121","0","2015_16","12","88","100","2015_16","14282","0","7396","2015_16","0","","0","0.3093","0.2935","0.3123","0.0569","4.0","81.1","False","False","0.0","105.04","0.5131","0.4869","0.453","0.4082","0.473","0.1986","0.2582","verified","4","True","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","not checked","","","","","","","2015_16","159.0","14.0","173.0","2015_16","257.0","","153.0","True","verified — named on ergon.com.au","0.12","0","2015_16","False"
