short_name,council_name,stratum,abs_lga_code,is_indigenous_council,population_latest,essential_services_score,essential_services_inputs_used,n_above_soci_water_threshold,n_is_water_service_provider,n_mean_remoteness_score,population_vulnerability_score,population_vulnerability_inputs_used,n_seifa_irsd_score,n_avg_persons_per_bedroom,n_indigenous_share_pct,institutional_capacity_score,institutional_capacity_inputs_used,n_own_source_revenue_share,n_indoor_staff_share,n_staff_per_1000_residents,deployment_evidence_score,deployment_evidence_inputs_used,n_ai_deployment_confirmed,ai_risk_index,components_complete,adri_andri,ai_risk_rank,adri_rank,rank_shift
Logan,Logan Regional Council,seq_metro,34590,False,403515,0.0256,1/3,,,0.0256,0.3798,3/3,0.5641,0.3718,0.0962,0.5199,3/3,0.0789,0.9658,0.9533,1.0,1/1,1.0,0.4086,3/4,0.5575,69,66,-3
Longreach,Longreach Regional Council,very_remote,34710,False,3741,0.9567,3/3,1.0,1.0,0.8269,0.1471,3/3,0.1346,0.0513,0.3013,0.4691,3/3,0.6118,0.3082,0.3533,0.0,1/1,0.0,0.4645,4/4,0.475,56,49,-7
Mackay,Mackay Regional Council,outer_regional,34770,False,129253,0.8221,3/3,1.0,1.0,0.2885,0.276,3/3,0.1603,0.3718,0.3269,0.4108,3/3,0.0592,0.7329,0.8067,0.0,1/1,0.0,0.4389,4/4,0.5762,67,67,0
Mapoon,Mapoon Aboriginal Shire Council,indigenous,34830,True,494,0.5458,3/3,1.0,0.0,0.5833,0.8615,3/3,0.8846,0.8782,0.8013,0.5259,3/3,0.9671,0.0479,0.14,0.0,1/1,0.0,0.5369,4/4,0.3093,27,16,-11
Maranoa,Maranoa Regional Council,remote,34860,False,13370,0.8766,3/3,1.0,1.0,0.5064,0.2337,3/3,0.1987,0.0513,0.5449,0.4622,3/3,0.5329,0.3904,0.3933,0.0,1/1,0.0,0.4601,4/4,0.5038,58,60,2
Mareeba,Mareeba Regional Council,remote,34880,False,24205,0.8734,3/3,1.0,1.0,0.4936,0.6407,3/3,0.6218,0.6667,0.6346,0.5293,3/3,0.4539,0.5411,0.7,0.0,1/1,0.0,0.581,4/4,0.3628,18,23,5
McKinlay,McKinlay Regional Council,very_remote,34800,False,850,0.9567,3/3,1.0,1.0,0.8269,0.2083,3/3,0.0833,0.3718,0.1795,0.4482,3/3,0.6645,0.2397,0.22,0.0,1/1,0.0,0.4735,4/4,0.385,51,26,-25
Moreton Bay,Moreton Bay Regional Council,seq_metro,35010,False,532445,0.4176,3/3,1.0,0.0,0.0705,0.2433,3/3,0.2308,0.3718,0.0833,0.6763,3/3,0.4276,0.8973,0.9667,1.0,1/1,1.0,0.539,4/4,0.6254,25,72,47
Mornington,Mornington Shire Council,indigenous,35250,True,1099,0.6067,3/3,1.0,0.0,0.8269,0.8635,3/3,0.8654,0.8782,0.8397,0.4178,3/3,0.7566,0.0205,0.1667,0.0,1/1,0.0,0.5232,4/4,0.2639,33,10,-23
Mount Isa,Mount Isa Regional Council,remote,35300,False,18585,0.9119,3/3,1.0,1.0,0.6474,0.5458,3/3,0.3526,0.6667,0.6859,0.3628,3/3,0.2303,0.3767,0.6733,0.0,1/1,0.0,0.5189,4/4,0.3163,35,19,-16
